text,leaf_labels
(熱壓土司)八棟花生麻糬,吐司;花生;麻糬
(熱壓土司)丹麥鮪魚起司,吐司;鮪魚;起司;丹麥可頌
(熱壓土司)丹麥鮪魚嫩蛋,吐司;鮪魚;蛋類;丹麥可頌
(熱壓土司)巧脆可可麻糬,吐司;麻糬;可可
(熱壓土司)里肌肉蛋,肉類;蛋類;吐司
(熱壓土司)花生醬燻培根,花生;加工肉品;吐司
(熱壓土司)青醬雞絲,雞;吐司
(熱壓土司)厚起司蛋,起司;蛋類;吐司
(熱壓土司)美式BBQ燻腸,香腸;吐司
(熱壓土司)香帥芋泥金沙,吐司;芋頭;蛋類
(熱壓土司)紐奧良風味烤雞,雞;吐司
(熱壓土司)頌丹樂香辣打拋雞,吐司;雞;辣椒
(熱壓土司)醬燒炙烤牛,牛;吐司
[小倉食宅]  黑糖玫瑰四物飲,黑糖;飲品類
[小倉食宅] 黑糖桂圓紅棗茶,黑糖;茶類;紅棗;龍眼
【36法郎】典藏拿堤咖啡,咖啡
【36法郎】極品拿堤咖啡,咖啡
【3點1刻】不想吃糖-日月潭奶茶(減糖),奶茶
【3點1刻】抹茶豆奶,綠茶抹茶;豆漿豆奶
【3點1刻】紅茶豆奶,紅茶;豆漿豆奶
【3點1刻】黑芝麻豆奶,豆漿豆奶;芝麻
【3點1刻】經典-炭燒奶茶,奶茶
【3點1刻】經典原味奶茶,奶茶
【3點1刻】鮮萃冷韻四季春,烏龍青茶
【3點1刻】鮮萃冷韻黃金蕎麥茶,茶類;麥
【3點1刻】鮮萃冷韻蜜香烏龍,烏龍青茶
【AGF】Blendy即溶咖啡-經典,咖啡
【AGF】CAFE LATORY咖啡-卡布奇諾,咖啡
【AGF】LATORY 咖啡-濃厚無糖拿鐵,拿鐵
【AGF】LATORY咖啡-焦糖瑪奇朵,咖啡;焦糖
【AGF】抹茶拿鐵粉,綠茶抹茶;拿鐵
【AGF】芳醇即溶咖啡,咖啡
【AGF】濃厚抹茶拿鐵粉,綠茶抹茶;拿鐵
【Ammerlander 愛牧】德國純牛奶,牛奶
【ASAHI 朝日】WONDA 豐香黑咖啡,黑咖啡
【ASAHI 朝日】十六茶 零咖啡因複方茶 ,茶類
【ASAHI 朝日】十六茶零咖啡因豆乳奶茶,奶茶;豆漿豆奶
【ASAHI 朝日】咖啡因複方茶,茶類
【ASAHI 朝日】原味可爾必思飲料,飲品類
【BEANISE】奶酒風味即溶咖啡,咖啡;牛奶;酒
【BEANISE】香草風味即溶咖啡,咖啡;香草
【BEANISE】香濃焦糖風味即溶咖啡,咖啡;焦糖
【BEANISE】榛果風味即溶咖啡,咖啡;榛果
【BessieByer 貝思寶兒】蜜桃果茶,茶類;水蜜桃
【BessieByer 貝思寶兒】檸檬紅茶,紅茶;檸檬
【BessieByer 貝思寶兒】覆盆子果茶,茶類;水果
【Binggrae】哈密瓜牛奶-保久調味乳,保久乳;水果
【Binggrae】香蕉牛奶-保久調味乳,保久乳;香蕉
【Binggrae】栗子牛奶/保久調味乳,保久乳;堅果種子類
【Binggrae】草莓牛奶-保久調味乳,保久乳;草莓
【BIO-TECH 台酒生技】桂圓黑麥汁,汽水;麥;龍眼
【BIO-TECH 台酒生技】烏梅黑麥汁,汽水;麥;梅子
【BOSS】CRAFT BOSS香檸梅風味飲料,檸檬;梅子;飲品類
【BT21】三切岩燒海苔-戀之梅口味,海苔;梅子
【BUCKINGHAM】現貨｜法國白蘭地水果蛋糕,蛋糕;水果;酒
【BUCKINGHAM】現貨｜英國香料水果蛋糕,蛋糕;水果
【BUCKINGHAM】現貨｜英國櫻桃水果蛋糕,蛋糕;水果
【BUCKINGHAM】現貨｜經典英式水果蛋糕,蛋糕;水果
【BUCKINGHAM】現貨｜蘇格蘭威士忌水果蛋糕,蛋糕;水果;酒
【C7】速溶黑咖啡,黑咖啡
【CACHA 卡恰】預購卡恰土魠魚捲燒,魚類
【CACHA 卡恰】預購卡恰飛魚捲燒,魚類
【CALBEE】富果樂水果麥片,水果;麥片
【CALBEE】富果樂減糖水果麥片,水果;麥片
【cama cafe】即溶精品黑咖啡,黑咖啡
【cama cafe】極珍選批次奶油胡桃濾掛式咖啡-中焙,咖啡;堅果種子類;奶油
【cama cafe】極珍選批次濾掛式咖啡-中焙可可堅,咖啡;可可
【cammie】桔梗麥冬茶,茶類;麥
【CAOTINA】頂級瑞士白巧克力粉,可可
【CAOTINA】頂級瑞士黑巧克力粉,可可
【Carman's】低糖覆盆莓椰子穀脆脆,莓果;椰子;全穀類;餅乾脆片
【Carman's】草莓莓果脆穀塊,草莓;全穀類;餅乾脆片
【Carman's】高蛋白杏仁榛果穀脆脆,杏仁;榛果;全穀類;餅乾脆片
【Carman's】甜蜜蘋果脆穀塊,蘋果;全穀類;餅乾脆片
【Carman's】綜合莓果穀物燕麥片,燕麥;莓果;麥片
【ChaTraMue】泰式紅茶-無色素版,紅茶
【ChaTraMue】泰國手標三合一泰式奶茶隨身包,奶茶
【Chiiiiiiiii 奇動】能量飲 黃金柚風味,飲品類;柚子
【Chiiiiiiiii 奇動】能量飲-熱帶百香果,飲品類;百香果
【CHILL 愛吃】油切仙楂烏梅茶,茶類;梅子
【CHILL 愛吃】黑糖老薑片,黑糖;薑
【CJ】白雪韓式冬粉,冬粉絲
【COMEBUY】蘋果冰茶生乳捲,蘋果;茶類;點心類;奶油
【Corsini】特選咖啡粉,咖啡
【Corsini】深焙咖啡粉,咖啡
【CS22】Topdry頂級乾燥 厚切海苔燒,海苔
【CS22】金駿眉高山茶茶葉鐵罐套組,茶類
【CS22】紅棗玉竹雞湯,湯品;雞;紅棗
【CS22】香菇雞湯,湯品;雞;香菇
【CS22】泰國小當家日式半切海苔_原味,海苔
【CS22】泰國小當家日式半切海苔_辣味,海苔;辣椒
【CS22】麻油雞湯,湯品;雞;芝麻;油類
【CS22】雍正御製速溶原味普洱熟茶膏,茶類
【CS22】藥膳仙草雞湯,湯品;雞;中藥材;仙草
【Day Choose 果日優選】HPP冷壓綜合纖果銀耳露,木耳
【DODO SUGAR】渡渡鳥模里西斯金砂黑糖,黑糖
【DR.DIARY 醫生健康日記】鵝油香蔥,油類;蔥
【DRIPO 牧場】紅茶牛乳即溶飲品,牛奶;紅茶
【DyDo】日式拿鐵咖啡,拿鐵
【DyDo】日式黑咖啡,黑咖啡
【DyDo】復刻堂可可風味飲/牛奶風味飲,可可;牛奶;飲品類
【EILLES】皇家即溶咖啡,咖啡
【EILLES】德國Eilles皇家洋甘菊茶,茶類
【EILLES】德國皇家伯爵茶,茶類
【EILLES】德國皇家英式錫蘭茶,茶類
【EILLES】德國皇家薄荷茶,茶類
【EiRAKU 永樂】永樂烏龍茶,烏龍青茶
【EiRAKU 永樂】永樂普洱茶,茶類
【EiRAKU 永樂】嚴選冬摘高山烏龍茶禮盒,烏龍青茶
【EZCHEF】香酥熱狗棒,火腿熱狗
【foodpro】北海道牛奶風味雪餅,牛奶;餅乾脆片
【FUZE TEA 飛想茶】檸檬紅茶,紅茶;檸檬
【G7】Gold Picasso拿鐵三合一即溶咖啡,拿鐵
【G7】Gold Rumi三合一即溶咖啡,咖啡
【G7】Legend 卡布其諾咖啡-椰奶風味,咖啡;椰子
【G7】三合一即溶咖啡,咖啡
【G7】卡布奇諾咖啡-榛果風味,咖啡;榛果
【G7】卡布奇諾咖啡-摩卡風味,咖啡;可可
【G7】純咖啡量販包,咖啡
【G7】傳奇經典三合一即溶咖啡,咖啡
【GEORGIA喬亞】焦糖風味雲朵拿鐵,拿鐵;焦糖
【GEORGIA喬亞】榛果白巧克力風味雲朵拿鐵,拿鐵;榛果;可可
【GEORGIA喬亞】滴濾拿鐵咖啡,拿鐵
【GEORGIA喬亞】滴濾無糖黑咖啡,黑咖啡
【Gold Thon】D197貓山王榴槤冰淇淋,冰淇淋;水果
【Gold Thon】D24蘇丹王榴槤冰淇淋,冰淇淋;水果
【Gold Thon】貓山王榴槤披薩,麵餅;水果
【Gold Thon】貓山王榴槤蛋塔,蛋類;水果;點心類
【Gold Thon】貓山王榴槤麻糬,麻糬;水果
【GOOD DAY】三合一咖啡-原味,咖啡
【GOOD DAY】三合一咖啡-榛果,咖啡;榛果
【GOOD DAY】三合一咖啡-摩卡,咖啡;可可
【GOOD TODAY】GOOD TODAY 冰茶,茶類
【GOOD TODAY】GOOD TODAY美式咖啡,黑咖啡
【GOOD TODAY】美式咖啡,黑咖啡
【GOOD TODAY】蜂蜜檸檬茶-果醬,檸檬;蜂蜜;茶類
【GOOD TODAY】零卡冰茶-水蜜桃口味,茶類;水蜜桃
【GOOD TODAY】蒟蒻果凍飲-水蜜桃風味,蒟蒻;水蜜桃;飲品類;果凍
【GOOD TODAY】蒟蒻果凍飲-石榴風味,蒟蒻;水果;飲品類;果凍
【GOOD TODAY】蒟蒻果凍飲-青葡萄風味,蒟蒻;葡萄;飲品類;果凍
【GOOD TODAY】薑茶-果醬,薑;茶類
【GS MALL】黑糖桂圓紅棗薑母茶磚,茶類;黑糖;紅棗;薑;龍眼
【HEARTS】即溶卡布奇諾-白咖啡,咖啡
【HEARTS】即溶卡布奇諾-甜味,咖啡
【HEARTS】即溶卡布奇諾-維也納調和風味,咖啡
【HEARTS】即溶可可飲,可可
【Hellmann's】La Perruche白方糖,糖
【Hellmann's】La Perruche紅方糖,糖
【Hershey's 好時】100%純可可粉,可可
【HOYA】植物肉乾-川味朝天椒風味,辣椒;肉乾
【HOYA】植物肉乾-台式鹹酥雞,雞;肉乾
【HOYA】植物肉乾-法式松露風味,松露;肉乾
【HOYA】植物肉乾-美式黑胡椒,胡椒;肉乾
【HOYA】植物肉乾-泰式檸檬風味,檸檬;肉乾
【HOYA】植物肉乾-韓式辣雞風味,辣椒;雞;肉乾
【HOYA】植物海味-芥末鱈魚絲風味,鱈魚
【HOYA】植物海味-酸辣魷魚片風味,辣椒;魷魚
【IDEE】金牌即溶咖啡-低刺激性,咖啡
【ILLY】中度烘焙咖啡粉,咖啡
【ILLY】中度烘焙摩卡咖啡粉,咖啡;可可
【ILLY】低咖啡因咖啡粉,咖啡
【ILLY】深度烘焙咖啡粉,咖啡
【ILLY】濾泡式咖啡粉,咖啡
【IRVINS 黑鴨】新加坡鹹蛋黃魚皮-原味/嗆辣,魚類;蛋類;辣椒
【ITO SEIKA】ORIHIRO 蒟蒻果凍-蜜柑風味,蒟蒻;柑橘;果凍
【Ito-En 伊藤園】Teas' Tea 蜜桃紅茶,紅茶;水蜜桃
【Ito-En 伊藤園】Teas' Tea 蘋果紅茶,紅茶;蘋果
【JACOBS】奶香即溶咖啡,咖啡
【JACOBS】黃金即溶咖啡,咖啡
【JELLY.B】低卡蒟蒻果凍,蒟蒻;果凍
【Jereteria】水蜜桃果凍飲,果凍;水蜜桃;飲品類
【Jereteria】麝香葡萄果凍飲,果凍;葡萄;飲品類;果凍
【KAARO】乳酸風味果凍條,果凍
【KAKAO FRIENDS】海苔酥,海苔
【KANU】KANU 美式咖啡-重烘焙,黑咖啡
【KANU】KANU 美式咖啡-輕度烘焙,黑咖啡
【KANU】三倍濃縮拿鐵,拿鐵
【KANU】香草風味拿鐵,拿鐵;香草
【KANU】拿鐵,拿鐵
【KANU】提拉米蘇風味拿鐵,拿鐵;點心類
【KANU】雙倍濃縮拿鐵,拿鐵
【KATAOKA BUSSAN】VAN HOUTEN 72%特濃可可粉,可可
【KATAOKA BUSSAN】VAN HOUTEN 牛奶可可粉,可可;牛奶
【KEY COFFEE】DRIP ON總匯濾掛咖啡隨身包,咖啡
【KEY COFFEE】特級深焙即溶咖啡,咖啡
【KEY COFFEE】歐蕾專用即溶咖啡,咖啡;牛奶
【KHAO SHONG】冰咖啡-即溶,咖啡
【KHAO SHONG】即溶咖啡,咖啡
【KHAO SHONG】義式濃縮3合1咖啡,咖啡
【KIRIN 麒麟】大罐生茶,茶類
【KIRIN 麒麟】午後紅茶 原味紅茶,紅茶
【KIRIN 麒麟】午後紅茶 檸檬紅茶,紅茶;檸檬
【KIRIN 麒麟】午後紅茶-奶茶,奶茶
【KIRIN 麒麟】午後紅茶-皇家奶茶,奶茶
【KIRIN 麒麟】午後紅茶-無糖紅茶,紅茶
【KIRIN 麒麟】生茶,茶類
【KitKat】巧克力早餐脆片,可可;餅乾脆片
【KONOMI 相撲手】Roll Stick 烤海苔-香辣,海苔;辣椒
【KONOMI 相撲手】Roll Stick 烤海苔-原味,海苔
【KONOMI 相撲手】烤紫菜-BBQ風味,海苔
【KONOMI 相撲手】烤紫菜-柚子味,海苔;柚子
【KONOMI 相撲手】脆紫菜-山葵風味,海苔
【KOPIKO】L.A.三合一即溶白咖啡,咖啡
【KOPIKO】三合一即溶濃醇咖啡,咖啡
【Kotsam 花泉】蜂蜜柚子茶球,蜂蜜;柚子;茶類
【KO咖啡王】ROASTA冷研無糖黑咖啡,黑咖啡
【LAVAZZA】QUALITA ORO金罐咖啡粉,咖啡
【Lee Squad Leader】李班長全張海苔,海苔
【Lee Squad Leader】李班長壽司海苔,海苔
【LOTTE 樂天】玉米鬚茶,茶類;玉米
【Magi Planet】星球工坊-玉米濃湯,玉米;濃湯
【Magi Planet】星球工坊-玫瑰鹽焦糖,鹽;焦糖
【Magi Planet】星球工坊-特濃起司,起司
【Magi Planet】星球工坊-草莓牛奶,草莓;牛奶
【Magi Planet】星球工坊-雙色地瓜,地瓜
【MAGMAG】超夯蜜餞-還魂梅,梅子
